Key,English,Russian
QUEST_DESTINATION_0002,Collect Twinke Stone by hunting Aibatt.,Добыть мерцающие камни у сглазов
QUEST_DESTINATION_0005,Deliver it to Magician Instructor Lopaze.,Поговорить с инструктором фокусников Лиопой
QUEST_DESTINATION_0006,Deliver it to Acrobat Instructor Tailer.,Поговорить с инструктором акробатов Тайли
QUEST_DESTINATION_0007,Get rid of Ren from Iblis Temple located southern part of Saint Morning.,Сразиться с Потрошонком в Нереальной пустыне на Санто Моргене
QUEST_DESTINATION_0008,Get rid of Sisif and find Soulstone of Hero.,Отобрать у Руки-крюки геройский самоцвет шута
QUEST_DESTINATION_0009,Get rid of Venel Guardian and find Venel Heart.,Сразиться с Виндигго и получить его сердце
QUEST_DESTINATION_0010,Get rid of Rubo and find Letter of Hynan.,Отобрать у Руколоба письмо Робина Теля
QUEST_DESTINATION_0011,Get rid of Prankster and find History Book of Heroes.,"Отобрать у паяцев книги из серии ""Жизнь замечательных героев"""
QUEST_DESTINATION_0015,Deliver Earring of Heren to Ata.,Отнести подвеску Д'Артамиса Ате
QUEST_DESTINATION_0016,Get rid of Shacalpion and find Tear of Darkness.,Отобрать у Шакалопа Черную слезу
QUEST_DESTINATION_0017,Get rid of Kidler and find Clue of Golden Helmet.,Сразиться с Шиндлером и получить информацию о золотом шлеме Максимилиануса
QUEST_DESTINATION_0018,Meet Kurumin.,Поговорить с Карминой
QUEST_DESTINATION_0019,Defeat the wheelem and get the soul stone.,"Отобрать у ушатронов души героев, заключенные в камнях"
QUEST_DESTINATION_0020,Defeat the hoaren and get the Hall Document.,Отобрать документы спортивного зала у Лойфа Дунгрена
QUEST_DESTINATION_0021,Defeat the steam walker and get the poster of skill(Master),Отобрать Афишу мастера у пароботов
QUEST_DESTINATION_0022,Meet Segho and give him the Hall Document.,Отдать документы спортивного зала Сего Песину
QUEST_DESTINATION_0023,Defeat the Ren and get the Seal of Aenn.,Отобрать у Потрошонка печать Киу
QUEST_DESTINATION_0024,Meet Tesar and give him the Seal of Aenn.,"Отнести печать Тише, командиру Киунских наемников"
QUEST_DESTINATION_0025,Defeat the hunter X and get the Teardrop of Aenn.,Отобрать Слезу Киу у Фуметокса
QUEST_DESTINATION_0026,Defeat the kinsay and get the Magic Underwear of Power.,Отобрать у Кисы Пояс Всевластья
QUEST_DESTINATION_0027,"Meet Rufan, the boss of the blue flag and give him the Magic Underwear of Power.",Отнести Пояс Всевластья Рональду в Мадренбург
QUEST_DESTINATION_0028,"Meet Parinee, the manage of the Saint City station and give her the Feather of Magic Power.","Найди Пери, работницу порта в Санто, и отдай ей Волшебное перо."
QUEST_DESTINATION_0030,Bring it to the mayor of Darkon.,Поговорить с мэром Даркенбурга
QUEST_DESTINATION_0032,Defeat Organiger.,Победить книгожора
QUEST_DESTINATION_0033,Defeat Gangard.,Победить ганмара
QUEST_DESTINATION_0034,Defeat Hardeser.,Победить бригадира зомбойщиков
QUEST_DESTINATION_0035,Defeat the group of Mia and get the Mia Report.,"Сразиться с Миа и найти ""инструкцию по использованию Миа"""
QUEST_DESTINATION_0036,Meet the mayor of the Saint City.,Встретьтесь с мэром Санто.
QUEST_DESTINATION_0037,Defeat the leader of the red bang Theives.,"Победить главаря ""Труппы товарищей"""
QUEST_DESTINATION_0038,Defeat the red bang Theives and get the symbol of the theives.,"Отобрать значки у ""товарищей"""
QUEST_DESTINATION_0039,Kill Lord Bang and obtain necklace.,Победить Папашу Грома и получить его значок
QUEST_DESTINATION_0040,Hand it to Strange Collector,Поговорить со Свином-мусорщиком
QUEST_DESTINATION_0042,Look for an egg after killing Red Mantis C,Сразиться с красными богомолами и добыть яйца
QUEST_DESTINATION_0043,Bring it to Dr. Estern,Отнеси их доктору Иначе
QUEST_DESTINATION_0044,Bring it to Dr. Estly,Отнеси это Доктору Если
QUEST_DESTINATION_0045,Please give it to Mayor in Darkon,Поговорить с мэром Даркенбурга
QUEST_DESTINATION_0056,Bring it to Chairman of History Society Gothante.,Поговорить с председателем исторического общества Шлесигером
QUEST_DESTINATION_0057,Bring it to Manager of Ancient Document Rovanett,Поговорить с архивариусом Ровеной
QUEST_DESTINATION_0058,Bring it to Great Magician Laola,Поговорить с ведьмой Лолой
QUEST_DESTINATION_0059,Bring it to Historian Martinyc,Поговорить с историком Мартиникой
QUEST_DESTINATION_0060,Bring it to Mercenary Instructor Hyuit,Поговорить с инструктором борцов Хайятой
QUEST_DESTINATION_0061,Kill Small Mushpang,Сразиться со слабыми сыробежками
QUEST_DESTINATION_0062,Bring it to Assist Instructor Kidmen,Поговорить с инструктором униформистов Кидмой
QUEST_DESTINATION_0063,Bring it to Hachal in Flarine,Поговорить с Гачалео во Фларинции
QUEST_DESTINATION_0064,Bring it to Hachal in Darkon,Поговорить с Гачалео на Дарконе
QUEST_DESTINATION_0066,Receive mail from Rankashu who is standing in front of Dekane Mine,Найди Ранкаша у входа в Шахту Распада и забери у него письмо.
QUEST_DESTINATION_0067,Drian exists in the first room,Поговорить с Драйном в первом зале
QUEST_DESTINATION_0068,Kill keakoon in the third room and obtain key.,Получить ключ у свинов в третьем зале
QUEST_DESTINATION_0069,Move to the third room and check a cell where Nevil is locked.,"Найти камеру, в которой держат Невила"
QUEST_DESTINATION_0070,Kill Elite Keakoon Guard Leaders in the third room.,Kill Elite Keakoon Guard Leaders in the third room.
QUEST_DESTINATION_0071,Talk with Nevin in prison,Talk with Nevin in prison
QUEST_DESTINATION_0072,Break Roach egg in fifth room and obtain 15 Pink Roach Fluids,Разбить яйца розовых кукарачей в пятом зале и добыть кровь
QUEST_DESTINATION_0073,Break Roach egg in fourth room and obtain 15 Blue Roach Fluids,Разбить яйца синих кукарачей в четвертом зале и добыть кровь
QUEST_DESTINATION_0074,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid,Break Roach egg in fifth room and obtain 1 Pink Roach Queen Fluid
QUEST_DESTINATION_0075,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid,Break Roach egg in fourth room and obtain 1 Blue Roach Queen Fluid
QUEST_DESTINATION_0076,Obtain 30 Cillins nearby,Добыть осколки силлиния
QUEST_DESTINATION_0077,Meet Kazen,Поговорить с Кайзеном
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,Получить 30 рибения у зеленых хватоглотов
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,"Поговорить с Нейном в Мертвой пустоши Даркона-3, найти тридий и получить качественный рибений"
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.","Поговорить с Селлом на Дарконе-1, получить карту доступа и добыть двадцать осколков тридия"
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,Отнести рибений Нейну
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,В пещере водятся крыжорники-мутанты и Кисандры-мутанты.
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,"Победи Зловещую арахнагу, живущую в самой дальней комнате Марсовой шахты."
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,Откровение можно найти в самой дальней по левую руку комнате в Храме Ужосса.
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,Kill 8 Iblis Crashers in the Iblis Temple.
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,Kill an Iblis Guardian in the Iblis Temple.
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,Obtain the Pattern by Killing an Iblis Guardian.
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,Please purchase a Long Sword from [Shield] Luda.
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.",Поговорить с Драйном и получить сверток
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,Неподалеку обитают книгожоры
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,Неподалеку обитают ганмары
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,Неподалеку обитают бригадиры зомбойщиков
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,Radion gave you this Fragment of Memories.
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,Сам Реодос дал тебе этот кулон героя-факира.
QUEST_DESTINATION_1002,Zoro gave you this letter.,Зоро дал тебе это письмо.
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,Отдай это письмо Зоро.
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,You got this Promise Ring from the Garbagespiders.
QUEST_DESTINATION_1005,Bring this Letter to Dior.,Bring this Letter to Dior.
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,Принеси этот кулон героя Максимусу.
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,You got this Hero's Pendant from the Bearnerkys.
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,Bring this Agony Ore to Ainher.
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,Symbols of Shade drop from Violet masquerpets with a level close to yours.
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,Collect Erons from Erons Catchers.
QUEST_DESTINATION_1011,Collect Krasec from Krasec Catchers.,Collect Krasec from Krasec Catchers.
QUEST_DESTINATION_1012,Collect Mineral from Mineral Catchers.,Collect Mineral from Mineral Catchers.
QUEST_DESTINATION_1013,Collect Guru from Guru Catchers.,Collect Guru from Guru Catchers.
QUEST_DESTINATION_1014,Give the Smelted Steels to Chenbing.,Give the Smelted Steels to Chenbing.
QUEST_DESTINATION_1015,Give the Metallurgical Bull Ring to Colack.,Give the Metallurgical Bull Ring to Colack.
QUEST_DESTINATION_1016,Give the Supercharged Lightning Rod to Gothante.,Give the Supercharged Lightning Rod to Gothante.
QUEST_DESTINATION_1017,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.
QUEST_DESTINATION_1018,Give the Elixir of Cleansing to Hael.,Give the Elixir of Cleansing to Hael.
QUEST_DESTINATION_1019,Collect Ultima from giants and treasure chests.,Collect Ultima from giants and treasure chests.
QUEST_DESTINATION_1020,Kill %s Prismatic Cobras and Water Totem Pole,Kill %s Prismatic Cobras and Water Totem Pole
QUEST_DESTINATION_1021,Kill %s Twinstrike Cobras and Wind Totem Pole,Kill %s Twinstrike Cobras and Wind Totem Pole
QUEST_DESTINATION_1022,Kill %s Tanuki Enforcers and Earth Totem Pole,Kill %s Tanuki Enforcers and Earth Totem Pole
QUEST_DESTINATION_1023,Kill %s Wildwood Stalkers and Fire Totem Pole,Kill %s Wildwood Stalkers and Fire Totem Pole
QUEST_DESTINATION_1024,"Kill Kriton, the Shade's right hand living deep inside Herneos.","Kill Kriton, the Shade's right hand living deep inside Herneos."
QUEST_DESTINATION_1025,Kill 150 Dreadfins in the Herneos Dungeon.,Kill 150 Dreadfins in the Herneos Dungeon.
QUEST_DESTINATION_1026,Kill 150 Dreadscales in the Herneos Dungeon.,Kill 150 Dreadscales in the Herneos Dungeon.
QUEST_DESTINATION_1027,Kill 150 Luminfins in the Herneos Dungeon.,Kill 150 Luminfins in the Herneos Dungeon.
QUEST_DESTINATION_1028,Obtained by talking to Dr. Estly.,Obtained by talking to Dr. Estly.
QUEST_DESTINATION_1029,Obtained by killing Dreadfins in the Herneos Dungeon.,Obtained by killing Dreadfins in the Herneos Dungeon.
QUEST_DESTINATION_1030,Obtained by killing Dreadscales in the Herneos Dungeon.,Obtained by killing Dreadscales in the Herneos Dungeon.
QUEST_DESTINATION_1031,Obtained by killing Luminfins in the Herneos Dungeon.,Obtained by killing Luminfins in the Herneos Dungeon.
QUEST_DESTINATION_1032,"Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos.","Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos."
QUEST_DESTINATION_1033,"Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos.","Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos."
QUEST_DESTINATION_1034,The lost treasure of Herneos should be easy to find inside Herneos.,The lost treasure of Herneos should be easy to find inside Herneos.
QUEST_DESTINATION_1035,You should be able to find one by exploring the Herneos dungeon.,You should be able to find one by exploring the Herneos dungeon.
QUEST_DESTINATION_1036,Bring it to Gergantes.,Bring it to Gergantes.
QUEST_DESTINATION_1037,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest
QUEST_DESTINATION_1038,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer
QUEST_DESTINATION_1039,Kill %s more [Demonic Soul] Hel to spawn an hidden chests,Kill %s more [Demonic Soul] Hel to spawn an hidden chests
QUEST_DESTINATION_1040,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer
QUEST_DESTINATION_1041,Kill %s more [Anguished Soul] Mara to spawn an hidden chest,Kill %s more [Anguished Soul] Mara to spawn an hidden chest
QUEST_DESTINATION_1042,Kill %s more [Violent Soul] Ghed to spawn an hidden chest,Kill %s more [Violent Soul] Ghed to spawn an hidden chest
QUEST_DESTINATION_1043,Defeat %s Dungeon Final Boss,Defeat %s Dungeon Final Boss
QUEST_DESTINATION_1044,You received Master's letter of introduction from the previous quest.,You received Master's letter of introduction from the previous quest.
QUEST_DESTINATION_1045,You received Fragment of a Fallen Ship from the Mayor of Flarine.,You received Fragment of a Fallen Ship from the Mayor of Flarine.
QUEST_DESTINATION_1046,You received Translated Lycan Operation Plan from [Captain] Baron.,You received Translated Lycan Operation Plan from [Captain] Baron.
QUEST_DESTINATION_1047,You received All about Muran! from [Elder] Melak.,You received All about Muran! from [Elder] Melak.
QUEST_DESTINATION_1048,You collected Lycan Orders during the previous quest.,You collected Lycan Orders during the previous quest.
QUEST_DESTINATION_1049,You collected Torn Scroll during the previous quest.,You collected Torn Scroll during the previous quest.
